0.0961,0.1989,0.1028,0.1018,0.1695,0.0677,0.0916,0.1204,0.0287,0.1158,0.398,0.2822,0.1065,0.3496,0.2431,0.101,0.2335,0.1326,0.1067,0.1395,0.0329,0.1167,0.19,0.0733,0.1217,0.1289,0.0072,0.1116
0.1167,1.1319,1.0152,0.1162,0.2746,0.1584,0.1255,0.1834,0.0578,0.1117,0.5682,0.4565,0.1067,0.319,0.2123,0.0819,0.2393,0.1575,0.1215,0.15,0.0285,0.116,0.1745,0.0585,0.1422,0.1439,0.0017,0.1516
0.1215,0.294,0.1725,0.1018,0.1643,0.0626,0.0918,0.1448,0.053,0.1215,0.3388,0.2173,0.1067,0.3391,0.2324,0.0914,0.1793,0.0879,0.1015,0.1792,0.0777,0.0876,0.1353,0.0478,0.0975,0.1438,0.0463,0.0817
0.1208,0.3381,0.2173,0.0916,0.1744,0.0827,0.1076,0.2142,0.1066,0.1119,0.4188,0.3069,0.0965,0.3296,0.233,0.0876,0.2135,0.1259,0.1068,0.1447,0.0379,0.0967,0.155,0.0583,0.1445,0.1292,-0.0154,0.1166
0.1216,0.2293,0.1077,0.0917,0.1694,0.0777,0.1172,0.2292,0.112,0.1017,0.3196,0.2179,0.0961,0.3334,0.2372,0.0817,0.1795,0.0978,0.1066,0.1744,0.0678,0.1017,0.1358,0.0341,0.1164,0.1235,0.0071,0.1414
0.1017,0.2991,0.1974,0.1067,0.1751,0.0684,0.0878,0.169,0.0812,0.0981,0.3391,0.2409,0.0963,0.364,0.2677,0.0961,0.2088,0.1127,0.0969,0.1643,0.0675,0.0983,0.1403,0.042,0.097,0.1192,0.0222,0.0965
0.0965,0.3831,0.2866,0.0967,0.1944,0.0977,0.0917,0.1843,0.0926,0.1068,0.3492,0.2424,0.1065,0.3338,0.2273,0.0916,0.1693,0.0777,0.1016,0.1744,0.0729,0.0867,0.1252,0.0385,0.1168,0.1394,0.0226,0.1212
0.1066,0.2492,0.1425,0.097,0.1543,0.0574,0.1069,0.2046,0.0977,0.1018,0.3389,0.2371,0.1016,0.3588,0.2571,0.0666,0.1694,0.1027,0.1118,0.1794,0.0676,0.0966,0.1702,0.0735,0.1067,0.1248,0.0181,0.1306
0.1232,0.2841,0.1608,0.1116,0.1943,0.0827,0.1069,0.1644,0.0575,0.1017,0.3241,0.2224,0.0866,0.3092,0.2227,0.0916,0.2041,0.1125,0.1066,0.1594,0.0528,0.0966,0.1559,0.0593,0.1187,0.1217,0.003,0.1246
0.1314,0.3237,0.1923,0.1016,0.2193,0.1177,0.0868,0.1844,0.0976,0.0917,0.3887,0.297,0.1066,0.3689,0.2623,0.0865,0.1842,0.0976,0.1167,0.1847,0.068,0.1214,0.16,0.0386,0.1024,0.1344,0.0319,0.1261
0.1175,0.3132,0.1957,0.1017,0.2094,0.1077,0.0916,0.1444,0.0528,0.1019,0.3688,0.2669,0.1034,0.3592,0.2558,0.0913,0.1991,0.1078,0.0866,0.1644,0.0777,0.1018,0.1602,0.0584,0.1068,0.099,-0.0077,0.1165
0.0912,0.2833,0.1921,0.1018,0.2094,0.1076,0.0817,0.1596,0.0779,0.1064,0.4099,0.3035,0.106,0.3276,0.2216,0.0968,0.225,0.1282,0.1059,0.1936,0.0877,0.0966,0.141,0.0444,0.1059,0.1579,0.0521,0.0968
0.1018,0.4688,0.367,0.0963,0.1691,0.0728,0.1066,0.1454,0.0387,0.1258,0.3737,0.2479,0.0909,0.3584,0.2674,0.0715,0.1892,0.1177,0.1016,0.1793,0.0777,0.0818,0.1601,0.0783,0.077,0.1297,0.0527,0.1109
0.0967,0.2392,0.1425,0.0917,0.1694,0.0777,0.0918,0.1501,0.0582,0.1276,0.3931,0.2655,0.1118,0.3141,0.2023,0.097,0.1952,0.0983,0.1058,0.1437,0.0379,0.1067,0.1561,0.0494,0.1109,0.1329,0.0221,0.1025
0.0777,0.3332,0.2555,0.1035,0.1794,0.0759,0.0818,0.1348,0.053,0.1017,0.304,0.2024,0.0866,0.4992,0.4126,0.0659,0.1884,0.1225,0.0917,0.1495,0.0578,0.0968,0.1457,0.0489,0.1012,0.1384,0.0372,0.1017
0.0967,0.309,0.2122,0.1018,0.1751,0.0733,0.1027,0.139,0.0363,0.1216,0.4394,0.3178,0.1259,0.4627,0.3368,0.0868,0.2058,0.119,0.0902,0.1431,0.0529,0.1017,0.185,0.0833,0.0976,0.2041,0.1065,0.1513
0.0933,0.2842,0.1909,0.1115,0.1942,0.0827,0.0883,0.1504,0.0621,0.1008,0.3387,0.2379,0.0947,0.3191,0.2243,0.091,0.1986,0.1076,0.0967,0.1551,0.0584,0.0912,0.1298,0.0386,0.1225,0.1288,0.0063,0.0768
0.0918,0.3139,0.2222,0.1017,0.1944,0.0928,0.087,0.1894,0.1024,0.0968,0.3448,0.248,0.1057,0.4327,0.327,0.0722,0.2094,0.1372,0.1016,0.1793,0.0777,0.1066,0.1703,0.0636,0.0875,0.1138,0.0263,0.0935
0.1066,0.3737,0.2671,0.0917,0.1395,0.0478,0.0972,0.1946,0.0974,0.1165,0.3348,0.2183,0.1158,0.3537,0.2379,0.0911,0.1937,0.1026,0.1017,0.1544,0.0528,0.1069,0.1452,0.0384,0.1175,0.124,0.0064,0.1018
0.102,0.295,0.1929,0.1174,0.224,0.1066,0.0812,0.1589,0.0777,0.1069,0.3788,0.2719,0.1067,0.3496,0.243,0.1059,0.2235,0.1175,0.1167,0.2046,0.0879,0.1066,0.1506,0.044,0.1163,0.1531,0.0368,0.102
